Service_Category,Service_Type,Location_Name,Description,Website,Service_Phone,Location_Address_1,Location_Suburb,Location_State,Location_Postcode,Latitude,Longitude
Health Services,General Health Services,Commonwealth Respite and Carelink Centre - South Brisbane,The Commonwealth Carer Respite Centre is carer foc,http://www.bluecare.org.au,1800 059 059,528 Example Street,SALISBURY,QLD,4655,-27.544,153.037
Health Services,General Health Services,Community Child Health Service - Brisbane North,The Community Child Health Service aims to assist ,,(07) 3250 8555,529 Example Street,FORTITUDE VALLEY,QLD,4006,-27.458,153.029
Health Services,General Health Services,Corinda Community Health Centre - Brisbane South Respiratory Service - Breathe Easier Program,"Program offers support, exercise assessment and ed",http://www.health.qld.gov.au,(07) 3710 2222,530 Example Street,EIGHT MILE PLAINS,QLD,4113,-27.577,153.096
Health Services,General Health Services,Cystic Fibrosis Queensland,Cystic Fibrosis Queensland (CFQ) provides a range ,http://www.cysticfibrosis.org.au/qld/,(07) 3359 8000,531 Example Street,TOOWONG,QLD,4066,-27.481,152.993
Health Services,General Health Services,Deaf Australia - Stafford,Deaf Australia is the national peak advocacy and i,http://deafaustralia.org.au/,(07) 3357 8277,532 Example Street,STAFFORD,QLD,4053,-27.41,153.02
Health Services,General Health Services,Dental Clinic - Inala,Queensland Health offer Public Sector Oral Health ,,(07) 3275 5400,533 Example Street,INALA,QLD,4077,-27.6,152.971
Health Services,General Health Services,Dental Clinic - QEII Hospital,Queensland Health offer Public Sector Oral Health ,,(07) 3275 6368,534 Example Street,COOPERS PLAINS,QLD,4108,-27.559,153.048
Health Services,General Health Services,Dental Clinic - Wolston Park,Queensland Health offer Public Sector Oral Health ,,(07) 3271 8514,535 Example Street,WACOL,QLD,4076,-27.591,152.917
Health Services,General Health Services,Dental Hospital - Brisbane,The Dental Hospital provides a free dental service,,(07) 3231 3777,536 Example Street,BRISBANE,QLD,4000,-27.467,153.023
Health Services,General Health Services,Diabetes Counselling - National Phone service,Diabetes Counselling Online is a national web base,,(08) 8365 4424,537 Example Street,,,,-27.469,153.025
Health Services,General Health Services,Diabetes Queensland,Diabetes Queensland is the peak body for people wi,http://www.diabetesqld.org.au/,(07) 3506 0999,538 Example Street,MILTON,QLD,4064,-27.466,153.005
Health Services,General Health Services,Diabetic Care Centre Huxhams Pharmacy - Brisbane,The Diabetic Care Centre offers Diabetic advice an,,(07) 3352 6410,539 Example Street,GRANGE,QLD,4051,-27.425,153.014
Health Services,General Health Services,Dial a Home Doctor,Dial a Home Doctor is FREE for all who hold a medi,http://www.myhomedoctor.com.au,13 99 99,540 Example Street,FOREST LAKE,QLD,4078,-27.627,152.967
Health Services,General Health Services,Drug Arm - Annerley,"DRUG ARM is a non-government, non-profit organisat",http://www.hoa.drugarm.com.au/,(07) 3620 8800,541 Example Street,ANNERLEY,QLD,4103,-27.509,153.032
Health Services,General Health Services,Eating Disorders Program,The New Farm Clinic Eating Disorders Program provi,,(07) 3254 9100,542 Example Street,NEW FARM,QLD,4005,-27.473,153.045
Health Services,General Health Services,Epilepsy Queensland Inc,Epilepsy Qld provides a wide range of information ,http://www.epilepsyqueensland.com.au,(07) 3435 5000,543 Example Street,WOOLLOONGABBA,QLD,4102,-27.485,153.037
Health Services,General Health Services,Flexi Care Inc,Flexi Care Inc auspices 4 services which provide a,http://www.flexicareinc.org.au,(07) 3422 8400,544 Example Street,MANSFIELD,QLD,4122,-27.531,153.103
Health Services,General Health Services,Gardens Motel - Auchenflower,The Auchenflower Gardens Motel provides units for ,,(07) 3870 8411,545 Example Street,AUCHENFLOWER,QLD,4066,-27.476,152.992
Health Services,General Health Services,Greenslopes Hospital Low Vision Care Centre,The Low Vision Care Centre is aimed at helping peo,http://www.greenslopesprivate.com.au/,(07) 3394 7111,546 Example Street,GREENSLOPES,QLD,4120,-27.513,153.046
Health Services,General Health Services,Health Management - Eagle Farm,In conjunction with the Queensland Government fund,http://www.healthmg.com.au/,(07) 3268 3501,547 Example Street,EAGLE FARM,QLD,4009,-27.432,153.086
Health Services,General Health Services,Health Project and Research Team - Yeerongpilly,"Service Method: Direct Services, Research, Target ",,(07) 3817 2324,548 Example Street,YEERONGPILLY,QLD,4105,-27.526,153.014
Health Services,General Health Services,Health Services Info Line,The Health Services Info Line provides a wide rang,,(07) 3837 5986,549 Example Street,BRISBANE,QLD,4000,-27.466,153.016
Health Services,General Health Services,Heart Foundation Walking,HFW is a community based walking program which aim,http://walking.heartfoundation.org.au/,(07) 3872 2500,550 Example Street,FORTITUDE VALLEY,QLD,4006,-27.452,153.03
Health Services,General Health Services,Heart Foundation Walking - Fortitude Valley,Heart Foundation Walking is Australia's largest ne,https://www.heartfoundation.org.au/active-living/get-active/walking,1300 362 787,551 Example Street,FORTITUDE VALLEY,QLD,4006,-27.452,153.03
Health Services,General Health Services,Help Program for Kidz - Medilase Laser Tattoo Removal Courses and Training,Homeless and Jobless Youth who cannot find work du,http://www.medilase.com.au,0426 444 556,552 Example Street,MOUNT GRAVATT,QLD,4122,-27.538,153.079
Health Services,General Health Services,Hepatitis Queensland,The Hepatitis Councils services include support gr,http://www.hepqld.asn.au,1800 437 222,553 Example Street,SOUTH BRISBANE,QLD,4101,-27.474,153.015
Health Services,General Health Services,iChi Physio,iChi Physio provide a physiotherapy service and ge,,(07) 3847 2081,554 Example Street,,,,-27.5,153.05
Health Services,General Health Services,Inala Community Health Centre,"Alcohol, Tobacco and Other DrugsBreastScreenChild ",http://www.health.qld.gov.au/services/metrosouth/inala-chc.asp,(07) 3275 5333,555 Example Street,INALA,QLD,4077,-27.6,152.971
Health Services,General Health Services,Indigenous Community HIV/AIDS and Sexual Health Information Service - Roma,Did you know that many new HIV infections occur be,http://www.quac.org.au/,1800 177 434,556 Example Street,TENERIFFE,QLD,4005,-27.452,153.046
Health Services,General Health Services,Integrate Place,General Health Services,http://www.integrateplace.com.au,(07) 3396 3128,557 Example Street,WYNNUM,QLD,4178,-27.443,153.177
Health Services,General Health Services,Integrated Mental Health - West Moreton District,"Service Method: Counselling, Direct Services, Adul",,(07) 3817 2484,558 Example Street,IPSWICH,QLD,4305,-27.494,153.034
Health Services,General Health Services,Ipswich Clinic,"Service Method: Direct Services, Methadone Program",,(07) 3817 2501,559 Example Street,IPSWICH,QLD,4305,-27.494,153.034
Health Services,General Health Services,Juvenile Diabetes Research Foundation International,JDRF provides support and information to families ,http://www.jdrf.org.au,(07) 3831 0544,560 Example Street,SPRING HILL,QLD,4000,-27.464,153.025
Health Services,General Health Services,Karuna Hospice Services,The Palliative Care Helpline provides information ,http://www.karuna.org.au,(07) 3632 8300,561 Example Street,WINDSOR,QLD,4030,-27.437,153.032
Health Services,General Health Services,Kidney Health Australia,Kidney Health Australia's aim is to be the leading,http://www.kidney.org.au,1800 682 531,562 Example Street,MILTON,QLD,4064,-27.473,153.003
Health Services,General Health Services,Lang Parade Lodge,The Lang Parade Lodge provides units for patients ,http://wesley.com.au/services/accommodation-services,(07) 3871 1780,563 Example Street,AUCHENFLOWER,QLD,4066,-27.475,152.998
Health Services,General Health Services,Leukaemia Foundation - Accommodation Centre - ESA Village,The Leukaemia Foundation is dedicated to the care ,,(07) 3055 8233,564 Example Street,DUTTON PARK,QLD,4102,-27.496,153.03
Health Services,General Health Services,Leukaemia Foundation - Brisbane Head Office,The Leukaemia Foundation is dedicated to the care ,https://www.leukaemiaqld.org.au,(07) 3318 4418,565 Example Street,FORTITUDE VALLEY,QLD,4006,-27.458,153.029
Health Services,General Health Services,Leukaemia Foundation of Queensland - CJS Village,The Leukaemia Foundation of Queensland's CJS Villa,http://www.leukaemiaqld.org.au,(07) 3259 1000,566 Example Street,COOPERS PLAINS,QLD,4108,-27.559,153.048
Health Services,General Health Services,Leukaemia Foundation of Queensland - ESA Village,The Leukaemia Foundation of Queensland's ESA Villa,http://www.leukaemiaqld.org.au,(07) 3055 8200,567 Example Street,DUTTON PARK,QLD,4102,-27.496,153.028
Health Services,General Health Services,Leukaemia Foundation of Queensland - Herston Village,The Leukaemia Foundation of Queensland's Herston V,http://www.leukaemiaqld.org.au,(07) 3252 2277,568 Example Street,HERSTON,QLD,4006,-27.448,153.018
Health Services,General Health Services,Life After Diets,Life After Diets provides women with a non-diet ap,http://www.lifeafterdiets.com.au,(07) 3630 2620,569 Example Street,CLAYFIELD,QLD,4011,-27.417,153.061
Health Services,General Health Services,Look Good - Feel Better,The Look Good - Feel Better organisation offers a ,http://www.lgfb.org.au,1800 650 960,570 Example Street,BRISBANE CITY,QLD,4000,-27.469,153.025
Health Services,General Health Services,Lupus Australia Qld Inc,Lupus is an auto immune disease which causes infla,http://www.lupus.com.au,(07) 3878 9553,571 Example Street,INDOOROOPILLY,QLD,4068,-27.502,152.974
Health Services,General Health Services,Lymphoedema Association Of Qld Inc,The Lymphoedema Association is a self help organis,http://www.lymphqld.org,(07) 3269 1498,572 Example Street,BRACKEN RIDGE,QLD,4017,-27.319,153.034
Health Services,General Health Services,Lymphoma Australia,Bi-monthly meetings. Ring for information.,http://www.lymphoma.org.au,1800 359 081,573 Example Street,FORTITUDE VALLEY,QLD,4006,-27.457,153.033
Health Services,General Health Services,Medical Aid Subsidy Scheme - (MASS) - Brisbane,Medical Aid Subsidy Scheme (MASS) provides assista,http://www.health.qld.gov.au/mass,(07) 3136 3636,574 Example Street,CANNON HILL,QLD,4170,-27.466,153.093
Health Services,General Health Services,Medicare - Cairndale,Medicare See a Customer Service Officer to help yo,http://www.humanservices.gov.au/,13 20 11,575 Example Street,CARINDALE,QLD,4152,-27.503,153.101
Health Services,General Health Services,Medicare - Chermside,Medicare See a Customer Service Officer to help yo,http://www.humanservices.gov.au/,13 20 11,576 Example Street,CHERMSIDE,QLD,4032,-27.381,153.031
Health Services,General Health Services,Medicare - Inala,Medicare See a Customer Service Officer to help yo,http://www.humanservices.gov.au/,13 20 11,577 Example Street,INALA,QLD,4077,-27.601,152.974
Health Services,General Health Services,Medicare - Mitchelton,Medicare See a Customer Service Officer to help yo,http://www.humanservices.gov.au/,13 20 11,578 Example Street,MITCHELTON,QLD,4053,-27.412,152.977
Health Services,General Health Services,Medicare - Mount Gravatt,Medicare See a Customer Service Officer to help yo,http://www.humanservices.gov.au/,13 20 11,579 Example Street,MT GRAVATT,QLD,4122,-27.558,153.082
Health Services,General Health Services,Medicare - Nundah,Medicare See a Customer Service Officer to help yo,http://www.humanservices.gov.au/,13 20 11,580 Example Street,NUNDAH,QLD,4012,-27.401,153.059
Health Services,General Health Services,Medicare - Toowong,Medicare See a Customer Service Officer to help yo,http://www.humanservices.gov.au/,13 20 11,581 Example Street,TOOWONG,QLD,4066,-27.484,152.991
Health Services,General Health Services,Medicare - Wynnum,Medicare See a Customer Service Officer to help yo,http://www.humanservices.gov.au/,13 20 11,582 Example Street,WYNNUM,QLD,4178,-27.446,153.172
Health Services,General Health Services,Mental Health Association of Australia,"Promotes awareness, acceptance and action on menta",http://www.hoa.mentalhealth.org.au/,1300 729 686,583 Example Street,ANNERLEY,QLD,4103,-27.509,153.032
Health Services,General Health Services,Metro South Health - Corporate Office,Metro South Health is the major provider of public,https://metrosouth.health.qld.gov.au/,(07) 3156 4949,584 Example Street,EIGHT MILE PLAINS,QLD,4113,-27.572,153.091
Health Services,General Health Services,Minds and Hearts ,We are a psychology clinic for Asperger's Syndrome,http://www.mindsandhearts.net,(07) 3844 9466,585 Example Street,WEST END,QLD,4101,-27.477,153.013
Health Services,General Health Services,National Disability Services - Queensland,We provide services in the Toowoomba Regional Coun,http://www.nds.org.au/,(07) 3357 4188,586 Example Street,LUTWYCHE,QLD,4030,-27.422,153.034
Health Services,General Health Services,National Stroke Foundation,We are the voice of stroke in Australia. Our missi,https://strokefoundation.org.au/,1800 787 656,587 Example Street,BRISBANE,QLD,4000,-27.47,153.023
Health Services,General Health Services,Northside Health Service District,The Northside Health Service District's new Centra,,(07) 5433 8306,588 Example Street,CHERMSIDE,QLD,4032,-27.386,153.031
Health Services,General Health Services,NPS Medicinewise - Medicines Line - QLD,"NPS MedicineWise is an independent, not-for-profit",https://www.nps.org.au/medical-info,1300 633 424,589 Example Street,WEST END,QLD,4101,-27.478,153.013
Health Services,General Health Services,Office of Hearing Services (Federal),Office of Hearing Services (Federal) provides asse,http://hearingservices.gov.au/wps/portal/hso/site/HSOHome/!ut/p/a1/04_Sj9CPykssy0xPLMnMz0vMAfGjzOK9A03NDD0NjLwtwvzdDBwd_UJ9vNxMjAy8DYAKIoEKDHAARwNC-sP1o_AqMTCFKsBjRUFuhEGmo6IiAGbW_L4!/dl5/d5/L2dBISEvZ0FBIS9nQSEh/,1800 500 726,590 Example Street,BRISBANE,QLD,4000,-27.469,153.025
Health Services,General Health Services,Office of the Health Ombudsman,We maintain public confidence in the management of,http://www.oho.qld.gov.au/,13 36 46,591 Example Street,BRISBANE CITY,QLD,4000,-27.469,153.025
Health Services,General Health Services,Options Clinic,The Spring Hill Clinic provides pregnancy counsell,http://www.optionsclinic.com.au,(07) 3831 8300,592 Example Street,SPRING HILL,QLD,4000,-27.463,153.021
Health Services,General Health Services,Oral And Maxillofacial Surgery Unit,The Oral and Maxillofacial Surgery Unit provides a,,(07) 3636 7618,593 Example Street,HERSTON,QLD,4006,-27.447,153.029
Health Services,General Health Services,Oral Health Services - Indooroopilly,Queensland Health offer Public Sector Oral Health ,http://www.health.qld.gov.au,1300 300 850,594 Example Street,INDOOROOPILLY,QLD,4068,-27.499,152.966
Health Services,General Health Services,Oral Health Services - Nundah,Queensland Health offer Public Sector Oral Health ,,1300 365 997,595 Example Street,NUNDAH,QLD,4012,-27.403,153.058
Health Services,General Health Services,Oral Health Services - Sandgate,Queensland Health offer Public Sector Oral Health ,,1300 300 850,596 Example Street,SANDGATE,QLD,4017,-27.321,153.07
Health Services,General Health Services,Oral Health Services - Stafford,Queensland Health offer Public Sector Oral Health ,,1300 300 850,597 Example Street,STAFFORD,QLD,4053,-27.413,153.018
